,0
1006,ORIENTABRA
1007,ORIENTALTL
1008,ORIENTBELL
1009,ORIENTCEM
1010,ORIENTELEC
1011,ORIENTHOT
1012,ORIENTLTD
1013,ORIENTPPR
1014,ORIENTREF
1015,ORISSAMINE
1016,ORTINLABSS
1017,OSWALAGRO
1018,PAGEIND
1019,PAISALO
1020,PALASHSECU
1021,PANACEABIO
1022,PANACHE
1023,PANAMAPET
1024,PAPERPROD
1025,PARACABLES
1026,PARAGMILK
1027,PARSVNATH
1028,PATELENG
1029,PATINTLOG
1030,PATSPINLTD
1031,PCJEWELLER
1032,PDMJEPAPER
1033,PDSMFL
1034,PEARLPOLY
1035,PEL
1036,PENIND
1037,PENINLAND
1038,PERSISTENT
1039,PETRONET
1040,PFC
1041,PFIZER
1042,PFOCUS
1043,PFS
1044,PGHH
1045,PGHL
1046,PGIL
1047,PHILIPCARB
1048,PHOENIXLTD
1049,PIDILITIND
1050,PIIND
1051,PILANIINVS
1052,PILITA
1053,PIONDIST
1054,PIONEEREMB
1055,PITTIENG
1056,PLASTIBLEN
1057,PNB
1058,PNBGILTS
1059,PNBHOUSING
1060,PNC
1061,PNCINFRA
1062,PODDARHOUS
1063,PODDARMENT
1064,POKARNA
1065,POLYCAB
1066,POLYMED
1067,POLYPLEX
1068,PONNIERODE
1069,POWERGRID
1070,POWERINDIA
1071,POWERMECH
1072,PPAP
1073,PPL
1074,PRABHAT
1075,PRAENG
1076,PRAJIND
1077,PRAKASH
1078,PRAKASHSTL
1079,PRECAM
1080,PRECWIRE
1081,PREMEXPLN
1082,PREMIERPOL
1083,PRESSMN
1084,PRESTIGE
1085,PRICOLLTD
1086,PRIMESECU
1087,PRINCEPIPE
1088,PROZONINTU
1089,PRSMJOHNSN
1090,PSB
1091,PSPPROJECT
1092,PSUBNKBEES
1093,PTC
1094,PTL
1095,PUNJABCHEM
1096,PURVA
1097,PVR
1098,QGOLDHALF
1099,QNIFTY
1100,QUESS
1101,QUICKHEAL
1102,RADICO
1103,RADIOCITY
1104,RAIN
1105,RAJESHEXPO
1106,RAJRATAN
1107,RAJSREESUG
1108,RAJTV
1109,RALLIS
1110,RAMANEWS
1111,RAMCOCEM
1112,RAMCOIND
1113,RAMCOSYS
1114,RAMKY
1115,RANEENGINE
1116,RANEHOLDIN
1117,RATNAMANI
1118,RAYMOND
1119,RBL
1120,RBLBANK
1121,RCF
1122,RECLTD
1123,REDINGTON
1124,REFEX
1125,RELAXO
1126,RELCAPITAL
1127,RELIANCE
1128,RELIGARE
1129,RELINFRA
1130,REMSONSIND
1131,RENUKA
1132,REPCOHOME
1133,REPRO
1134,RESPONIND
1135,REVATHI
1136,RGL
1137,RHFL
1138,RICOAUTO
1139,RIIL
1140,RITES
1141,RKDL
1142,RKFORGE
1143,RML
1144,RNAVAL
1145,ROLTA
1146,ROSSARI
1147,ROSSELLIND
1148,ROUTE
1149,RPGLIFE
1150,RPOWER
1151,RPPINFRA
1152,RSSOFTWARE
1153,RSYSTEMS
1154,RTNINFRA
1155,RTNPOWER
1156,RUBYMILLS
1157,RUCHIRA
1158,RUPA
1159,RUSHIL
1160,RVNL
1161,S&SPOWER
1162,SABEVENTS
1163,SABTN
1164,SADBHAV
1165,SADBHIN
1166,SAFARI
1167,SAGARDEEP
1168,SAGCEM
1169,SAIL
1170,SAKAR
1171,SAKHTISUG
1172,SAKSOFT
1173,SAKUMA
1174,SALASAR
1175,SALONA
1176,SALSTEEL
1177,SALZERELEC
1178,SAMBHAAV
1179,SANCO
1180,SANDESH
1181,SANDHAR
1182,SANGAMIND
1183,SANGHIIND
1184,SANGHVIMOV
1185,SANGINITA
1186,SANOFI
1187,SARDAEN
1188,SAREGAMA
1189,SARLAPOLY
